heading,source,content
Rupee Falls To 82.72 Against A Resurgent Dollar As Risk Appetite Declines,"Edited by Rahul Karunakar  | Monday October 31, 2022",Rupee Today: The domestic currency reversed gains from earlier in the session on Monday to close weaker against the dollar.
"After Elon Musk's Twitter Takeover, Amul Shares Witty Topical","Aditi Ahuja   | Monday October 31, 2022",Popular dairy brand Amul shared a quirky creative on Elon Musk's Twitter takeover. Here's all you need to know!
"IIT Madras Generated Over Rs 1000 Crore From Government Projects, Industrial Consultancy","Edited by Adarsh Srivastava  | Monday October 31, 2022","The Indian Institute of Technology (IIT) Madras, has recently shared data on sponsored research and industry funding and revenue for the year 2021-22."
Halloween 2022: Varun Dhawan's Post Comes With A Bhediya Twist,"Edited by Niharika Sanjeeiv  | Monday October 31, 2022",Bhediya also stars Deepak Dobriyal and Abhishek Bannerjee in crucial roles.
,,
"Now, Uttar Pradesh's Turn: Hiranandani Group To Invest Rs 39,000 Crore","Press Trust of India   | Monday October 31, 2022, Noida","Data centre company Yotta Infrastructure will invest Rs 39,000 crore in Uttar Pradesh over the next 5-7 years, a top official of the company said on Monday."
This Is What Dwayne Johnson's Post-Workout Cheat Meal Looks Like,"Edited by Aditi Ahuja  | Monday October 31, 2022","Dwayne Johnson revealed that it had been weeks since he got his Sunday off. So, he decided to compensate for that with an elaborate post-workout meal"
"No Controversy Behind Action Against Vice-Chancellors, Only Defending Law Laid Down By SC: Kerala Governor","Reported by Press Trust of India | Monday October 31, 2022","Kerala Governor Arif Mohammed Khan said there was no ""other intention"" or ""controversy"" behind the steps taken by him as he was only implementing the law laid down by the Supreme Court."
,,
"Ananya Panday Channels Her Inner Poo. Kareena Kapoor Calls It ""Fab""","Edited by Niharika Sanjeeiv  | Monday October 31, 2022","Along with the video, Ananya Panday wrote, “It’s my birthday today and it’s Halloween tomorrow so obviously I had to dress as my all-time favourite POO."""
This Japanese Restaurant Lets You Catch Your Own Fish To Cook; Watch Viral Video,"Vaishali Kapila   | Monday October 31, 2022",Viral Video: This Japanese restaurant lets customers catch their own fish to cook a meal.
What Is Gentle Parenting? Why Is This Parenting-Style Trending?,"Manya Singh   | Monday October 31, 2022",This kind of parenting places a strong emphasis on age-appropriate growth.
"Anushka Sharma Is Furious After Virat Kohli's Hotel Room Video Gets Leaked: ""Absolute Disgrace""","Written by Niharika Sanjeeiv  | Monday October 31, 2022, New Delhi","Virat Kohli, who is currently in Australia for the T20 World Cup, shared a video on his Instagram handle"
Vaani Kapoor's Sunday Breakfast Gave Us The Ultimate Weekend Goals (See Pic),"Gauri Rohatgi   | Monday October 31, 2022","Being both a foodie and a fitness enthusiast, Vaani Kapoor easily finds ways to balance her calorie intake."
Arjun Kapoor’s Weekend Diaries Featured This Delicious Home-Cooked Food,"Edited by Neha Grover  | Monday October 31, 2022",Arjun Kapoor’s homecooked meal is giving us some major comfort food goals.
Winter Immunity: How To Make Ajwain Kali Mirch Kadha To Boost Immunity,"Gauri Rohatgi   | Monday October 31, 2022",Ajwain Kali Mirch Kadha is made with common ingredients known for their medicinal and healing properties. Take a look.
"Ayushmann Khurrana Ate The ""Best Awadhi Food"" And Here's What He Loved","Aditi Ahuja   | Monday October 31, 2022","Ayushmann Khurrana took to Instagram to share his latest food indulgence, and it was none other than some delightful Awadhi food."
"Pics: How Ananya Panday Celebrated Her Birthday With Aryan Khan, Navya Naveli Nanda And Others","Written by Niharika Sanjeeiv  | Monday October 31, 2022",Siddhant Chaturvedi and Shanaya Kapoor also attended Ananya Panday's 24th birthday celebrations
