heading,source,content
,,
Rakul Preet Singh Shares Her Diet Secrets And Here's What She Revealed,"Priyaja Bakshi   | Thursday October 13, 2022",Rakul Preet Singh's foodie fans asked her questions about her food preferences and we got to know some eye-opening things about the actress!
Drishyam 2: Tabu Introduces Akshaye Khanna. See New Poster,"Written by Pranita Chaubey  | Thursday October 13, 2022, New Delhi","Tabu shared a poster, introducing Akshaye Khanna's character in the film"
IIITDM Kancheepuram Appoints Professor M V Kartikeyan As Its New Director,"Edited by Arpita Das  | Thursday October 13, 2022",M V Kartikeyan is a professor at IIT Roorkee. He graduated from BHU and IIT BHU with a Master's degree in 1985 and a PhD in 1992.
,,
Women's Asia Cup: India Thrash Thailand By 74 Runs To Enter Final,"Press Trust of India   | Thursday October 13, 2022",India beat Thailand by 74 runs in Sylhet to enter Women's Asia Cup final on Thursday
Karwa Chauth 2022: City-Wise Moonrise Timings In India; How To Break The Fast,"Somdatta Saha   | Thursday October 13, 2022","Hindu married women, especially in the northern part of India, are celebrating the festival today (on October 13, 2022). Find the moonrise timings below."
World Sight Day 2022: Genetic Predisposition To Glaucoma,"Dr. Sirisha Senthil   | Thursday October 13, 2022","World Sight Day 2022: A lot of glaucoma cases are not diagnosed in time due to poor attention to family history. In general, an average individual has a 3.5% risk of developing glaucoma in their lifetime."
What Separates Virat Kohli From Rohit Sharma As Captain? Ex-Kiwi Star Answers,"NDTV Sports Desk   | Thursday October 13, 2022","Rohit Sharma has had a stupendous start as the captain of the Indian team since taking over the team's baton from Virat Kohli. The Hitman will be leading the Indian team in the T20 World Cup 2022, hoping to do what Virat couldn't in ICC events."
Watch: This Multi-Purpose Chocolate Sauce Needs Just 2 Ingredients To Make,"Somdatta Saha   | Thursday October 13, 2022",This chocolate sauce recipe by chef Pankaj Bhadouria is super easy to make.
Tamil Nadu TNEA Counselling Provisional Allotment For Upward Opted Candidates Out At Tneaonline.org,"Edited by Mridusmita Deka  | Thursday October 13, 2022",TNEA 2022 Counselling: The TNEA round-2 provisional allotment for upward opted candidates is out at tneaonline.org. Applicants will have to login to download the TNEA allotment order.
"Things Ira Khan Discovered After ""Stalking"" Herself On Instagram","Edited by NDTV Movies News Desk  | Thursday October 13, 2022, New Delhi",Ira Khan is engaged to fitness trainer Nupur Shikhare
India vs Western Australia Practice Match Highlights: India Lose To Western Australia In Second Practice Game,"NDTV Sports Desk   | Thursday October 13, 2022","India vs Western Australia, Practice Match Highlights: KL Rahul scored a brilliant 75 but India went down fighting against Western Australia in the second practice match at the WACA Ground in Perth."
About Last Night: Alia Bhatt Pictured With Husband Ranbir And Mother-In-Law Neetu Kapoor,"Written by Pranita Chaubey  | Thursday October 13, 2022, New Delhi",Alia Bhatt and Ranbir Kapoor were twinning and winning
